,tweets,user_name,location,geo,ftokens,lemma,positive,neutral,negative
20,  Why are taxpayers paying for your campaign fund raising COVID19 spreading trips Your c… ,Jaxson5280,,,"['taxpayers', 'paying', 'campaign', 'fund', 'raising', 'covid19', 'spreading', 'trips', 'c…']","['taxpayer', 'pay', 'campaign', 'fund', 'raise', 'covid19', 'spread', 'trip', 'c…']",0,1,0
21, The average age of a covid fatality in the UK is 82 older than the average age of death in the UK,ellipticaltrnr,,,"['average', 'age', 'covid', 'fatality', 'uk', '82', 'older', 'average', 'age', 'death', 'uk']","['average', 'age', 'covid', 'fatality', 'uk', '82', 'old', 'average', 'age', 'death', 'uk']",0,0,1
22, 1st most peeps dont really believe that number any more go w it if u like amp of the real deaths attrib… ,RiderHonu,,,"['1st', 'peeps', 'dont', 'really', 'believe', 'number', 'go', 'w', 'u', 'like', 'amp', 'real', 'deaths', 'attrib…']","['1st', 'peep', 'dont', 'really', 'believe', 'number', 'go', 'w', 'u', 'like', 'amp', 'real', 'death', 'attrib…']",1,0,0
23,Bissanti thanks read just about all of it not all doom and gloom on housing need to explore the banking avenues… ,FranklinMatters,"Franklin, MA",,"['bissanti', 'thanks', 'read', 'doom', 'gloom', 'housing', 'need', 'explore', 'banking', 'avenues…']","['bissanti', 'thanks', 'read', 'doom', 'gloom', 'housing', 'need', 'explore', 'banking', 'avenues…']",1,0,0
24, If we qualified for regular UI due to COVID do we need to apply separately for the extension or will the a… ,Jennife65900407,"Maryland, USA",,"['qualified', 'regular', 'ui', 'due', 'covid', 'need', 'apply', 'separately', 'extension', 'a…']","['qualified', 'regular', 'ui', 'due', 'covid', 'need', 'apply', 'separately', 'extension', 'a…']",0,0,1
25,My ex sister in law tested positive  Although her and my brother are divorced they are still close and she is stil… ,portdauphin,"Gulf Coast, US",,"['ex', 'sister', 'law', 'tested', 'positive', 'although', 'brother', 'divorced', 'still', 'close', 'stil…']","['ex', 'sister', 'law', 'test', 'positive', 'although', 'brother', 'divorce', 'still', 'close', 'stil…']",1,0,0
26,Calculated Risk  July 29 COVID19 Test Results Note California is still having a data problem today so the cas… ,GReaderTweets,,,"['calculated', 'risk', 'july', '29', 'covid19', 'test', 'results', 'note', 'california', 'still', 'data', 'problem', 'today', 'cas…']","['calculate', 'risk', 'july', '29', 'covid19', 'test', 'result', 'note', 'california', 'still', 'data', 'problem', 'today', 'cas…']",0,1,0
27,Covid19 and could be at risk of death or severe damage to their quality of life To the people who are wearing a m… ,Ej_bapeh00die,Infiltrating the furrys base ,,"['covid19', 'could', 'risk', 'death', 'severe', 'damage', 'quality', 'life', 'people', 'wearing', 'm…']","['covid19', 'could', 'risk', 'death', 'severe', 'damage', 'quality', 'life', 'people', 'wear', 'm…']",0,1,0
28,HCQCURES ZincNow that we have a cure have had it all along no one needed to die amp a prevention drug for covi… ,carolroberts67,"Colorado, USA",,"['hcqcures', 'zincnow', 'cure', 'along', 'one', 'needed', 'die', 'amp', 'prevention', 'drug', 'covi…']","['hcqcures', 'zincnow', 'cure', 'along', 'one', 'need', 'die', 'amp', 'prevention', 'drug', 'covi…']",0,1,0
29,Next on the SNP death listDont test anyone They cant die from Covid  ,Ross_M_16,"Glasgow, Scotland",,"['next', 'snp', 'death', 'listdont', 'test', 'anyone', 'cant', 'die', 'covid']","['next', 'snp', 'death', 'listdont', 'test', 'anyone', 'cant', 'die', 'covid']",0,1,0
30,For retweeting that doctor Dtruck was saying was so spectacular she spreads covid19 miss information Twitter Sus… ,WestergrenJon,,,"['retweeting', 'doctor', 'dtruck', 'saying', 'spectacular', 'spreads', 'covid19', 'miss', 'information', 'twitter', 'sus…']","['retweeting', 'doctor', 'dtruck', 'say', 'spectacular', 'spread', 'covid19', 'miss', 'information', 'twitter', 'sus…']",1,0,0
31,Why The PCR Test Is The Key To The Illusion Of COVID Data ,juanayza,Mexico,,"['pcr', 'test', 'key', 'illusion', 'covid', 'data']","['pcr', 'test', 'key', 'illusion', 'covid', 'data']",0,1,0
32,   Suicide is rampant and it is deadlier than Covid Economy needs to reopen schools m… ,sajmay28,"Albuquerque, NM",,"['suicide', 'rampant', 'deadlier', 'covid', 'economy', 'needs', 'reopen', 'schools', 'm…']","['suicide', 'rampant', 'deadlier', 'covid', 'economy', 'need', 'reopen', 'school', 'm…']",0,1,0
33,  First in Covid19 deaths ,Fullquart4,US,,"['first', 'covid19', 'deaths']","['first', 'covid19', 'death']",1,0,0
34, Just how many of these deaths are really due to COVID19,loren_capps,,,"['many', 'deaths', 'really', 'due', 'covid19']","['many', 'death', 'really', 'due', 'covid19']",1,0,0
35,The Key to Defeating COVID19 Already Exists We Need to Start Using It  Opinion ,scott80720414,,,"['key', 'defeating', 'covid19', 'already', 'exists', 'need', 'start', 'using', 'opinion']","['key', 'defeat', 'covid19', 'already', 'exist', 'need', 'start', 'use', 'opinion']",0,1,0
36,Australian PMs department refuses to release Covid19 commission documentsWe need a Government governing for the… ,knarfnamduh,"South Coast, New South Wales",,"['australian', 'pms', 'department', 'refuses', 'release', 'covid19', 'commission', 'documentswe', 'need', 'government', 'governing', 'the…']","['australian', 'pm', 'department', 'refuse', 'release', 'covid19', 'commission', 'documentswe', 'need', 'government', 'govern', 'the…']",0,1,0
37,  Hey Bozo Congress Covid testing in the HEROES Act Div A Title VII the one this idiot vote… ,VMacCog,"1/2 in CA, 1/2 in CO",,"['hey', 'bozo', 'congress', 'covid', 'testing', 'heroes', 'act', 'div', 'title', 'vii', 'one', 'idiot', 'vote…']","['hey', 'bozo', 'congress', 'covid', 'test', 'hero', 'act', 'div', 'title', 'vii', 'one', 'idiot', 'vote…']",0,0,1
38, I need help brotherthings just got really bad with this covid 19 lost my job and my car  Trying to… ,Gordon08847285,,,"['need', 'help', 'brotherthings', 'got', 'really', 'bad', 'covid', '19', 'lost', 'job', 'car', 'trying', 'to…']","['need', 'help', 'brotherthings', 'get', 'really', 'bad', 'covid', '19', 'lose', 'job', 'car', 'try', 'to…']",0,0,1
39,Fighters gonna fail covid tests on a weekly basis for a long while it’s become normal All promoters should have d… ,_GaryWilliam_,!!!!!!!!!!RINGSIDE!!!!!!!!!!,,"['fighters', 'gon', 'na', 'fail', 'covid', 'tests', 'weekly', 'basis', 'long', '’', 'become', 'normal', 'promoters', 'd…']","['fighter', 'gon', 'na', 'fail', 'covid', 'test', 'weekly', 'basis', 'long', '’', 'become', 'normal', 'promoter', 'd…']",0,0,1
40,Exclusive Buddy first dog to test positive for COVID19 in the US has died ,TurkerNational,"Toronto, Canada",,"['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'us', 'died']","['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'u', 'die']",1,0,0
41,My niece is getting tested for Covid and my sister’s work MADE HER COME IN REGARDLESS until my niece has positive… ,icetheisbaby,"New York, USA",,"['niece', 'getting', 'tested', 'covid', 'sister', '’', 'work', 'made', 'come', 'regardless', 'niece', 'positive…']","['niece', 'get', 'test', 'covid', 'sister', '’', 'work', 'make', 'come', 'regardless', 'niece', 'positive…']",0,1,0
42,Virtual college does not help either with COVID severely limiting voter registration drives of young Democratic st… ,TRElections,,,"['virtual', 'college', 'help', 'either', 'covid', 'severely', 'limiting', 'voter', 'registration', 'drives', 'young', 'democratic', 'st…']","['virtual', 'college', 'help', 'either', 'covid', 'severely', 'limit', 'voter', 'registration', 'drive', 'young', 'democratic', 'st…']",1,0,0
43,The first dog to test positive for coronavirus in the US has died via  ,allenorresq,Washington DC - New York NY,,"['first', 'dog', 'test', 'positive', 'coronavirus', 'us', 'died', 'via']","['first', 'dog', 'test', 'positive', 'coronavirus', 'u', 'die', 'via']",1,0,0
44, If I was a hospital and the Feds gave me a kickback for every COVID Death I had I would put it on every death certificate 🤷,Jefe92643621,,,"['hospital', 'feds', 'gave', 'kickback', 'every', 'covid', 'death', 'would', 'put', 'every', 'death', 'certificate', '🤷']","['hospital', 'fed', 'give', 'kickback', 'every', 'covid', 'death', 'would', 'put', 'every', 'death', 'certificate', '🤷']",0,1,0
45,They really want me to go get tested for covid  I don’t want that shit in my nose,blasian_kay,"Louisville, KY",,"['really', 'want', 'go', 'get', 'tested', 'covid', '’', 'want', 'shit', 'nose']","['really', 'want', 'go', 'get', 'test', 'covid', '’', 'want', 'shit', 'nose']",0,1,0
46, Why say his death was caused by COVID19 if you don’t know  This is crappy reporting at its best Maybe… ,uncle_101,USA,,"['say', 'death', 'caused', 'covid19', '’', 'know', 'crappy', 'reporting', 'best', 'maybe…']","['say', 'death', 'cause', 'covid19', '’', 'know', 'crappy', 'reporting', 'best', 'maybe…']",1,0,0
47,So far so good After the second round of daily COVID19 testing ZERO out of 344 NBA players tested positive in… ,thegistusa,USA,,"['far', 'good', 'second', 'round', 'daily', 'covid19', 'testing', 'zero', '344', 'nba', 'players', 'tested', 'positive', 'in…']","['far', 'good', 'second', 'round', 'daily', 'covid19', 'test', 'zero', '344', 'nba', 'player', 'test', 'positive', 'in…']",1,0,0
48,After the first day of baseball’s return 35 cutouts test positive for COVID19 mlb COVID19 baseballseason… ,JonnyQPublic,Texas,,"['first', 'day', 'baseball', '’', 'return', '35', 'cutouts', 'test', 'positive', 'covid19', 'mlb', 'covid19', 'baseballseason…']","['first', 'day', 'baseball', '’', 'return', '35', 'cutout', 'test', 'positive', 'covid19', 'mlb', 'covid19', 'baseballseason…']",1,0,0
49,  Must work then Since Russia is doing so good in world far as deaths per capita from covid,AlRich59291621,,,"['must', 'work', 'since', 'russia', 'good', 'world', 'far', 'deaths', 'per', 'capita', 'covid']","['must', 'work', 'since', 'russia', 'good', 'world', 'far', 'death', 'per', 'caput', 'covid']",1,0,0
50,   China tried to blame the US military and also threatened to withhold medical suppl… ,thien3000,United States,,"['china', 'tried', 'blame', 'us', 'military', 'also', 'threatened', 'withhold', 'medical', 'suppl…']","['china', 'try', 'blame', 'u', 'military', 'also', 'threaten', 'withhold', 'medical', 'suppl…']",0,0,1
51,First dog in US to test Covid positive dies  ,barkingmermaid,"Los Angeles, CA",,"['first', 'dog', 'us', 'test', 'covid', 'positive', 'dies']","['first', 'dog', 'u', 'test', 'covid', 'positive', 'dy']",1,0,0
52,A quick little PSA Remember when Alberta had the flood and EVERYONE came out to help You know how many Calgarians… ,TheQuiltLamb,Treaty 7 ,,"['quick', 'little', 'psa', 'remember', 'alberta', 'flood', 'everyone', 'came', 'help', 'know', 'many', 'calgarians…']","['quick', 'little', 'psa', 'remember', 'alberta', 'flood', 'everyone', 'come', 'help', 'know', 'many', 'calgarians…']",1,0,0
53,In Red Zone SouthCarolina with 1666 new cases of COVID 48 additional deaths Gov  decides to OPEN ar… ,newsouth418,"South Carolina, USA",,"['red', 'zone', 'southcarolina', '1666', 'new', 'cases', 'covid', '48', 'additional', 'deaths', 'gov', 'decides', 'open', 'ar…']","['red', 'zone', 'southcarolina', '1666', 'new', 'case', 'covid', '48', 'additional', 'death', 'gov', 'decides', 'open', 'ar…']",1,0,0
54,It just took me 6 minutes total from start to finish to do my COVID test In LA No excuses Get tested,em_ursula,"Los Angeles, CA",,"['took', '6', 'minutes', 'total', 'start', 'finish', 'covid', 'test', 'la', 'excuses', 'get', 'tested']","['take', '6', 'minute', 'total', 'start', 'finish', 'covid', 'test', 'la', 'excuse', 'get', 'test']",0,1,0
55,For the third time in the past week California set a new record for daily deaths from COVID19 on Wednesday spari… ,NapaRegister,"Napa, California",,"['third', 'time', 'past', 'week', 'california', 'set', 'new', 'record', 'daily', 'deaths', 'covid19', 'wednesday', 'spari…']","['third', 'time', 'past', 'week', 'california', 'set', 'new', 'record', 'daily', 'death', 'covid19', 'wednesday', 'spari…']",0,0,1
56,I’m getting tested for Covid tomorrow ,butterfliah,Montréal,,"['’', 'getting', 'tested', 'covid', 'tomorrow']","['’', 'get', 'test', 'covid', 'tomorrow']",0,1,0
57,Isn’t it fun how the rich and infamous can get COVID testing daily and results with an hourCOVID19 failure,Archimage,"Dover, DE",,"['’', 'fun', 'rich', 'infamous', 'get', 'covid', 'testing', 'daily', 'results', 'hourcovid19', 'failure']","['’', 'fun', 'rich', 'infamous', 'get', 'covid', 'test', 'daily', 'result', 'hourcovid19', 'failure']",0,0,1
58,They continue to push no mask conspiracies while they kill their followers amp coworkers People need to take this se… ,RussellFosterTX,PO Box 913497 Sherman TX 75091,,"['continue', 'push', 'mask', 'conspiracies', 'kill', 'followers', 'amp', 'coworkers', 'people', 'need', 'take', 'se…']","['continue', 'push', 'mask', 'conspiracy', 'kill', 'follower', 'amp', 'coworkers', 'people', 'need', 'take', 'se…']",0,1,0
59,     You do know that hospitals get a lot of Medi… ,ImrazAli04,,,"['know', 'hospitals', 'get', 'lot', 'medi…']","['know', 'hospital', 'get', 'lot', 'medi…']",0,1,0
60,The first dog to test positive for coronavirus in the US has died via   COVID19,jolinastar,"Marina Del Rey, CA",,"['first', 'dog', 'test', 'positive', 'coronavirus', 'us', 'died', 'via', 'covid19']","['first', 'dog', 'test', 'positive', 'coronavirus', 'u', 'die', 'via', 'covid19']",1,0,0
61, I know you are hurt as am I and many others and to help with it think about what this amazing communi… ,alexamp4805,Adrestia,,"['know', 'hurt', 'many', 'others', 'help', 'think', 'amazing', 'communi…']","['know', 'hurt', 'many', 'others', 'help', 'think', 'amazing', 'communi…']",1,0,0
62,Ya boi tested negative for covid wooo,TyWolfShadow1,"Virginia, USA",,"['ya', 'boi', 'tested', 'negative', 'covid', 'wooo']","['ya', 'boi', 'test', 'negative', 'covid', 'wooo']",0,0,1
63, he said this will SLOW the spread Especially not allowing alcohol sales after 11PM We all know alcoho… ,UnitedWeStand67,,,"['said', 'slow', 'spread', 'especially', 'allowing', 'alcohol', 'sales', '11pm', 'know', 'alcoho…']","['say', 'slow', 'spread', 'especially', 'allow', 'alcohol', 'sale', '11pm', 'know', 'alcoho…']",0,0,1
64,BREAKING The United States hits its highest daily Covid19 death toll since May ,JesseDamiani,Views mine. He/him.,,"['breaking', 'united', 'states', 'hits', 'highest', 'daily', 'covid19', 'death', 'toll', 'since', 'may']","['break', 'united', 'state', 'hit', 'high', 'daily', 'covid19', 'death', 'toll', 'since', 'may']",0,1,0
65,Our Governor needs to place the blame where it belongs for giving Covid a chance to live indoor bars and dining… ,wifibandit,"Maryland, USA",,"['governor', 'needs', 'place', 'blame', 'belongs', 'giving', 'covid', 'chance', 'live', 'indoor', 'bars', 'dining…']","['governor', 'need', 'place', 'blame', 'belong', 'give', 'covid', 'chance', 'live', 'indoor', 'bar', 'dining…']",1,0,0
66, Get you’re head out of the sand You can’t run an economy on emotions People need to get back to wor… ,eridis2,,,"['get', '’', 'head', 'sand', '’', 'run', 'economy', 'emotions', 'people', 'need', 'get', 'back', 'wor…']","['get', '’', 'head', 'sand', '’', 'run', 'economy', 'emotion', 'people', 'need', 'get', 'back', 'wor…']",0,1,0
67,  And we know from the above yearly average excess deaths that its Covid which is driving this… ,scotbot,Sherwood,,"['know', 'yearly', 'average', 'excess', 'deaths', 'covid', 'driving', 'this…']","['know', 'yearly', 'average', 'excess', 'death', 'covid', 'drive', 'this…']",0,0,1
68,My friend told me he went to a yeshiva after he tested positive for covid,Penn_Statist,"State College, PA",,"['friend', 'told', 'went', 'yeshiva', 'tested', 'positive', 'covid']","['friend', 'tell', 'go', 'yeshiva', 'test', 'positive', 'covid']",1,0,0
69,Scheduled a Covid test for Friday Hope I get these results back pretty fast,Badash4real,Washington D.C.,,"['scheduled', 'covid', 'test', 'friday', 'hope', 'get', 'results', 'back', 'pretty', 'fast']","['schedule', 'covid', 'test', 'friday', 'hope', 'get', 'result', 'back', 'pretty', 'fast']",1,0,0
70, A ski resort is quite literally how COVID first spread to Germany,JesperDramsch,"Edinburgh, UK",,"['ski', 'resort', 'quite', 'literally', 'covid', 'first', 'spread', 'germany']","['ski', 'resort', 'quite', 'literally', 'covid', 'first', 'spread', 'germany']",1,0,0
71,Im hearing that Stephen Fulton Jr and his coach tested positive for COVID 190 Tramaine Williams will step in to face Angelo Leo,Irishexpress409,"Texas, USA",,"['im', 'hearing', 'stephen', 'fulton', 'jr', 'coach', 'tested', 'positive', 'covid', '190', 'tramaine', 'williams', 'step', 'face', 'angelo', 'leo']","['im', 'hearing', 'stephen', 'fulton', 'jr', 'coach', 'test', 'positive', 'covid', '190', 'tramaine', 'williams', 'step', 'face', 'angelo', 'leo']",1,0,0
72,   I need a Vegas line on Astros opponents games suspended vs positive COVID tests in MLB,brandl_n,Wisconsin,,"['need', 'vegas', 'line', 'astros', 'opponents', 'games', 'suspended', 'vs', 'positive', 'covid', 'tests', 'mlb']","['need', 'vega', 'line', 'astros', 'opponent', 'game', 'suspend', 'vs', 'positive', 'covid', 'test', 'mlb']",1,0,0
73,My brother an ER nurse from valley regional in brownsville just tested positive for COVID19 I hate doing these… ,juliojulesjuly,"happy thoughts, TX",,"['brother', 'er', 'nurse', 'valley', 'regional', 'brownsville', 'tested', 'positive', 'covid19', 'hate', 'these…']","['brother', 'er', 'nurse', 'valley', 'regional', 'brownsville', 'test', 'positive', 'covid19', 'hate', 'these…']",0,0,1
74, COVID19 is the only positive test result Louis Gohmert has received in a long long time,Not_a_RussiaBot,Shelter-in-Placisco,,"['covid19', 'positive', 'test', 'result', 'louis', 'gohmert', 'received', 'long', 'long', 'time']","['covid19', 'positive', 'test', 'result', 'louis', 'gohmert', 'receive', 'long', 'long', 'time']",1,0,0
75,First dog to test positive for COVID19 in the US has died  via ,carolinekvitter,"Stockholm, Sweden",,"['first', 'dog', 'test', 'positive', 'covid19', 'us', 'died', 'via']","['first', 'dog', 'test', 'positive', 'covid19', 'u', 'die', 'via']",1,0,0
76,Prepare for the MSM to lose their minds when we suddenly stop reporting high COVID s in FL State testing sites ar… ,KaydeeKing,"Florida, USA",,"['prepare', 'msm', 'lose', 'minds', 'suddenly', 'stop', 'reporting', 'high', 'covid', 'fl', 'state', 'testing', 'sites', 'ar…']","['prepare', 'msm', 'lose', 'mind', 'suddenly', 'stop', 'report', 'high', 'covid', 'fl', 'state', 'test', 'site', 'ar…']",1,0,0
77,After battling COVID19 for 53 straight days in NewJersey Dr Langevin is grateful for the opportunity to help H… ,comphealth,"Salt Lake City, UT",,"['battling', 'covid19', '53', 'straight', 'days', 'newjersey', 'dr', 'langevin', 'grateful', 'opportunity', 'help', 'h…']","['battle', 'covid19', '53', 'straight', 'day', 'newjersey', 'dr', 'langevin', 'grateful', 'opportunity', 'help', 'h…']",1,0,0
78,Got my Covid test results back and it came back negative,BadBihYoongi,UnderYoongisUndercut,,"['got', 'covid', 'test', 'results', 'back', 'came', 'back', 'negative']","['get', 'covid', 'test', 'result', 'back', 'come', 'back', 'negative']",0,0,1
79, continues to monitor driving behavior trends and find ways to help customers during the COVID19 pandem… ,KyleEmsick,,,"['continues', 'monitor', 'driving', 'behavior', 'trends', 'find', 'ways', 'help', 'customers', 'covid19', 'pandem…']","['continue', 'monitor', 'drive', 'behavior', 'trend', 'find', 'way', 'help', 'customer', 'covid19', 'pandem…']",0,1,0
80,As the pandemics death toll passed 150000 nationwide Victoria County officials on Wednesday reported the deaths… ,Vicadvocate,"Victoria, TX USA",,"['pandemics', 'death', 'toll', 'passed', '150000', 'nationwide', 'victoria', 'county', 'officials', 'wednesday', 'reported', 'deaths…']","['pandemic', 'death', 'toll', 'pass', '150000', 'nationwide', 'victoria', 'county', 'official', 'wednesday', 'report', 'deaths…']",0,1,0
81,COVID19 Stop the Spread,hkkiplimo,,,"['covid19', 'stop', 'spread']","['covid19', 'stop', 'spread']",0,1,0
82,Over 50 Florida Hospitals Run Out of ICU Beds for COVID Patients ,BlackInformant,New York. New York,,"['50', 'florida', 'hospitals', 'run', 'icu', 'beds', 'covid', 'patients']","['50', 'florida', 'hospital', 'run', 'icu', 'bed', 'covid', 'patient']",0,1,0
83,If this is real then Covid needs to work harder ,PeculiarCurio,UK,,"['real', 'covid', 'needs', 'work', 'harder']","['real', 'covid', 'need', 'work', 'harder']",1,0,0
84,Are those googly eyes looking at your COVID test results or something ,JoeWalshHotTake,"Illinois, USA",,"['googly', 'eyes', 'looking', 'covid', 'test', 'results', 'something']","['googly', 'eye', 'look', 'covid', 'test', 'result', 'something']",0,1,0
85, Covid or no Covid start building infrastructureincluding hospitals roads dams etc start reequip… ,AtkimKido,Joburg,,"['covid', 'covid', 'start', 'building', 'infrastructureincluding', 'hospitals', 'roads', 'dams', 'etc', 'start', 'reequip…']","['covid', 'covid', 'start', 'build', 'infrastructureincluding', 'hospital', 'road', 'dam', 'etc', 'start', 'reequip…']",0,1,0
86,Exclusive Buddy the first dog to test positive for COVID19 in the US has died  via ,martinbuggy,"Upper Darby, Pa.",,"['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'us', 'died', 'via']","['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'u', 'die', 'via']",1,0,0
87, Ohio hates the fact that a Michigan Hospital proved HCQ is good for treating COVID patients,DavidWMooney1,"Florida, USA",,"['ohio', 'hates', 'fact', 'michigan', 'hospital', 'proved', 'hcq', 'good', 'treating', 'covid', 'patients']","['ohio', 'hat', 'fact', 'michigan', 'hospital', 'prove', 'hcq', 'good', 'treating', 'covid', 'patient']",1,0,0
